ID,Nome,Nome_Origem,Idioma_Origem,Pais_Origem,Popularidade,Nota_Votos,Contagem_Votos
61374,Tokyo Ghoul,東京喰種トーキョーグール,Japonês,Japão,119.744,8.5,1826
61459,Parasyte -the maxim-,寄生獣 セイの格率,Japonês,Japão,35.872,8.5,845
61617,Over the Garden Wall,Over the Garden Wall,Inglês,Estados Unidos,35.341,8.5,970
61663,Your Lie in April,四月は君の嘘,Japonês,Japão,40.239,8.9,711
61752,Hellsing Ultimate,ヘルシング アルティメット,Japonês,Japão,29.801,8.5,420
61852,Henry Danger,Henry Danger,Inglês,Estados Unidos,116.071,8.3,950
61889,Marvel's Daredevil,Marvel's Daredevil,Inglês,Estados Unidos,127.551,8.1,3316
61923,Star vs. the Forces of Evil,Star vs. the Forces of Evil,Inglês,Estados Unidos,87.464,8.4,1123
62104,The Seven Deadly Sins,七つの大罪,Japonês,Japão,30.719,8.5,4369
62110,Assassination Classroom,暗殺教室,Japonês,Japão,67.77,8.6,759
62273,Food Wars! Shokugeki no Soma,食戟のソーマ,Japonês,Japão,30.92,8.6,562
62560,Mr. Robot,Mr. Robot,Inglês,Estados Unidos,79.829,8.2,3461
62565,My Love Story!!,俺物語!!,Japonês,Japão,20.811,8.7,292
62650,Chicago Med,Chicago Med,Inglês,Estados Unidos,105.624,8.4,848
62715,Dragon Ball Super,ドラゴンボール超（スーパー）,Japonês,Japão,386.415,8.2,4002
62741,Kamisama Kiss,神様はじめました,Japonês,Japão,74.073,8.8,694
62914,Merlí,Merlí,Catalan,Espanha,128.43,8.7,866
63145,Charlotte,シャーロット,Japonês,Japão,33.899,8.6,456
63174,Lucifer,Lucifer,Inglês,Estados Unidos,767.932,8.5,12025
63247,Westworld,Westworld,Inglês,Estados Unidos,255.397,8.1,4164
63333,The Last Kingdom,The Last Kingdom,Inglês,"Grã-Bretanha (Reino Unido, UK)",139.606,8.3,1136
63767,She Was Pretty,그녀는 예뻤다,Coreano,Coréia do Sul,25.8,8.3,716
63926,One-Punch Man,ワンパンマン,Japonês,Japão,182.449,8.4,2685
64196,Overlord,オーバーロード,Japonês,Japão,97.615,8.6,530
64710,Noragami,ノラガミ,Japonês,Japão,35.084,8.5,474
65143,Descendants of the Sun,태양의 후예,Coreano,Coréia do Sul,81.212,8.5,548
65249,ERASED,僕だけがいない街,Japonês,Japão,25.391,8.7,729
65494,The Crown,The Crown,Inglês,Multiplos Países,66.829,8.2,1326
65648,Maid Sama!,会長はメイド様！,Japonês,Japão,36.765,8.8,458
65844,KonoSuba – God's blessing on this wonderful world!!,この素晴らしい世界に祝福を！,Japonês,Japão,68.539,8.7,1026
65930,My Hero Academia,僕のヒーローアカデミア,Japonês,Japão,42.413,8.8,3719
66330,W: Two Worlds Apart,더블유,Coreano,Coréia do Sul,45.272,8.5,711
66433,Scarlet Heart: Ryeo,달의 연인 - 보보경심 려,Coreano,Coréia do Sul,47.237,8.7,377
66732,Stranger Things,Stranger Things,Inglês,Estados Unidos,3421.944,8.6,11300
67075,Mob Psycho 100,モブサイコ100,Japonês,Japão,54.437,8.6,750
67136,This Is Us,This Is Us,Inglês,Estados Unidos,87.393,8.2,1118
67178,Marvel's The Punisher,Marvel's The Punisher,Inglês,Estados Unidos,97.153,8.2,1725
67389,Golden Time,ゴールデンタイム,Japonês,Japão,38.605,8.8,462
67915,Goblin,쓸쓸하고 찬란하神-도깨비,Coreano,Coréia do Sul,93.586,8.8,2141
68129,Yuri!!! on Ice,ユーリ!!! on ICE,Japonês,Japão,19.376,8.8,493
68267,Trollhunters: Tales of Arcadia,Trollhunters: Tales of Arcadia,Inglês,Estados Unidos,59.51,8.5,894
68349,Weightlifting Fairy Kim Bok-Joo,역도요정 김복주,Coreano,Coréia do Sul,66.153,8.8,586
68595,Planet Earth II,Planet Earth II,Inglês,"Grã-Bretanha (Reino Unido, UK)",23.941,8.5,579
69050,Riverdale,Riverdale,Inglês,Estados Unidos,436.881,8.5,12675
69291,Miss Kobayashi's Dragon Maid,小林さんちのメイドラゴン,Japonês,Japão,96.342,8.4,641
69478,The Handmaid's Tale,The Handmaid's Tale,Inglês,Estados Unidos,109.012,8.2,1861
69740,Ozark,Ozark,Inglês,Estados Unidos,142.945,8.2,1494
70523,Dark,Dark,Alemão,Alemanha,150.796,8.4,5001
70593,Kingdom,킹덤,Coreano,Coréia do Sul,53.376,8.4,680
70637,Akashic Records of Bastard Magic Instructor,ロクでなし魔術講師と禁忌教典,Japonês,Japão,39.41,8.7,472
70785,Anne with an E,Anne with an E,Inglês,Canadá,165.024,8.8,3891
71024,Castlevania,Castlevania,Inglês,Estados Unidos,60.46,8.3,848
71446,Money Heist,La Casa de Papel,Espanhol,Espanha,378.857,8.3,16443
71578,Atypical,Atypical,Inglês,Estados Unidos,39.677,8.3,753
71712,The Good Doctor,The Good Doctor,Inglês,Estados Unidos,565.745,8.5,10603
71912,The Witcher,The Witcher,Inglês,Estados Unidos,103.587,8.2,3808
72305,Kakegurui,賭ケグルイ,Japonês,Japão,63.441,8.3,1314
72517,Classroom of the Elite,ようこそ実力至上主義の教室へ,Japonês,Japão,70.645,8.7,419
72637,Once,O11CE,Espanhol,Argentina,283.189,8.7,1126
73223,Black Clover,ブラッククローバー,Japonês,Japão,61.296,8.5,1428
